Soil Type,GLCM Contrast,Wavelet Energy,Entropy,Histogram RGB Mean,Crop
Alluvial Soil,1117.592768,10271135342,7.055311261,2365.3125,Rice
Alluvial Soil,308.4287454,13871481662,6.175900145,2365.3125,Pulses
Alluvial Soil,1123.943181,10269187703,7.057632203,2365.3125,Rice
Alluvial Soil,1113.505752,10308038205,7.053645347,2365.3125,Grapes
Alluvial Soil,1118.073677,10323459047,7.055657284,2365.3125,Rice
Alluvial Soil,1121.84555,10248516495,7.056957081,2365.3125,Pulses
Alluvial Soil,299.1748799,13872933197,6.16915713,2365.3125,Grapes
Alluvial Soil,330.3755806,13851026179,6.200754756,2365.3125,Rice
Alluvial Soil,339.3787111,13824466653,6.212616003,2365.3125,Pulses
Alluvial Soil,352.4928503,13827099839,6.22330133,2365.3125,Rice
Alluvial Soil,333.8681382,13836059052,6.206344121,2365.3125,Grapes
Alluvial Soil,323.1979715,13833849548,6.194788841,2365.3125,Rice
Alluvial Soil,350.8079433,13812990610,6.224141694,2365.3125,Pulses
Alluvial Soil,396.7977132,13793945704,6.266558155,2365.3125,Rice
Alluvial Soil,413.1318129,13800884314,6.276437744,2365.3125,Grapes
Alluvial Soil,758.3777429,14296941185,6.740276858,2365.3125,Rice
Alluvial Soil,762.3082734,14284965385,6.731551611,2365.3125,Pulses
Alluvial Soil,367.2575801,13791262656,6.236647187,2365.3125,Grapes
Alluvial Soil,408.0690048,13786240370,6.27375786,2365.3125,Rice
Alluvial Soil,744.5275462,14435959723,6.769151748,2365.3125,Pulses
Alluvial Soil,404.307996,13782879933,6.265760436,2365.3125,Rice
Alluvial Soil,766.2340179,14281584426,6.73297345,2365.3125,Grapes
Alluvial Soil,427.4096696,13782380024,6.287280667,2365.3125,Rice
Alluvial Soil,768.2644038,14267900812,6.733202305,2365.3125,Pulses
Alluvial Soil,420.8100249,13791412452,6.279257454,2365.3125,Rice
Alluvial Soil,443.9465279,13780743793,6.295744416,2365.3125,Grapes
Alluvial Soil,435.06308,13785545612,6.286207233,2365.3125,Rice
Alluvial Soil,441.0424119,13761661327,6.282666726,2365.3125,Pulses
Alluvial Soil,683.4774855,14687398963,6.815701018,2365.3125,Rice
Alluvial Soil,730.2480323,14289397562,6.714624155,2365.3125,Grapes
Alluvial Soil,687.5662238,14665822545,6.812201032,2365.3125,Rice
Alluvial Soil,779.8949254,13948197946,6.759323636,2365.3125,Pulses
Alluvial Soil,770.4842541,14292710832,6.735268472,2365.3125,Rice
Alluvial Soil,764.7658226,14295209530,6.737771252,2365.3125,Pulses
Alluvial Soil,764.7020105,13947342084,6.752297265,2365.3125,Rice
Alluvial Soil,753.8371692,13954157305,6.745599916,2365.3125,Pulses
Alluvial Soil,761.9027894,13958127631,6.75194641,2365.3125,Rice
Alluvial Soil,711.762912,13946202067,6.729102396,2365.3125,Grapes
Alluvial Soil,680.9182383,13957301440,6.721116008,2365.3125,Rice
Alluvial Soil,683.8529731,14647403921,6.805483224,2365.3125,Pulses
Alluvial Soil,743.7607472,14522300568,6.798692937,2365.3125,Rice
Alluvial Soil,670.5672549,14648154787,6.795622412,2365.3125,Grapes
Alluvial Soil,687.2022448,14656301370,6.804384965,2365.3125,Rice
Alluvial Soil,761.2695005,14285319377,6.745622409,2365.3125,Pulses
Alluvial Soil,745.2366173,14300040696,6.723903618,2365.3125,Rice
Alluvial Soil,762.3719215,14295741666,6.733408184,2365.3125,Pulses
Alluvial Soil,760.7482571,14270858297,6.729548359,2365.3125,Grapes
Alluvial Soil,755.4618599,14293047776,6.727656603,2365.3125,Rice
Alluvial Soil,748.4569209,14306966891,6.731471583,2365.3125,Pulses
Alluvial Soil,204.3049942,1100166133,4.163690408,2070.25,Rice
Alluvial Soil,111.0364968,578715030.8,2.507562533,2070.25,Grapes
Alluvial Soil,111.6590083,578573721,2.500200014,2070.25,Rice
Alluvial Soil,204.2794113,1099991419,4.160615509,2070.25,Pulses
Alluvial Soil,111.9453522,578325305.8,2.500555691,2070.25,Rice
Alluvial Soil,112.2720753,578464499.5,2.509962394,2070.25,Grapes
Alluvial Soil,203.5441113,1100375647,4.15976377,2070.25,Rice
Alluvial Soil,221.4434323,1725101680,3.701034318,2070.25,Pulses
Alluvial Soil,114.0236475,907157487.3,2.205634303,2070.25,Rice
Alluvial Soil,113.9883269,907750011.3,2.202707774,2070.25,Grapes
Alluvial Soil,221.4868807,1725372872,3.698423086,2070.25,Rice
Alluvial Soil,113.9815123,906826406.3,2.206851992,2070.25,Pulses
Alluvial Soil,114.1473387,907686131,2.204255695,2070.25,Rice
Alluvial Soil,221.0899362,1725285161,3.6921407,2070.25,Grapes
Alluvial Soil,246.3247824,1575339133,3.006242747,2070.25,Rice
Alluvial Soil,96.39581781,811285733.8,1.718027778,2070.25,Pulses
Alluvial Soil,95.3904949,811129992,1.723671781,2070.25,Rice
Alluvial Soil,246.3415286,1575264663,3.011792895,2070.25,Grapes
Alluvial Soil,95.22289834,811529773.3,1.725204005,2070.25,Rice
Alluvial Soil,95.04266331,810916618.5,1.722002167,2070.25,Pulses
Alluvial Soil,247.7756001,1575488965,3.006750049,2070.25,Rice
Alluvial Soil,201.2558391,2149786557,4.259105529,2070.25,Grapes
Alluvial Soil,108.5190134,1128758938,2.549098275,2070.25,Rice
Alluvial Soil,109.4650203,1129409598,2.543868651,2070.25,Pulses
Alluvial Soil,201.24375,2149670911,4.271576105,2070.25,Rice
Alluvial Soil,109.4863949,1128693244,2.553666993,2070.25,Grapes
Alluvial Soil,108.9335369,1128825296,2.55087175,2070.25,Rice
Alluvial Soil,198.5501407,2149924198,4.272969979,2070.25,Pulses
Alluvial Soil,2147.545382,6407963399,7.295731834,1530.765625,Rice
Alluvial Soil,430.2269308,4943087666,7.259554095,1062.5,Pulses
Alluvial Soil,1009.851631,1331899554,7.558275003,474,Rice
Alluvial Soil,693.3286185,2166466231,7.491285629,551.640625,Pulses
Alluvial Soil,560.4344027,2314562483,6.837802287,407.96875,Rice
Alluvial Soil,690.6371062,214049896.3,6.824993446,39.0625,Grapes
Alluvial Soil,2356.657372,629508031.3,7.533809338,197.421875,Rice
Alluvial Soil,755.2572394,689335722,6.615122165,196.5234375,Pulses
Alluvial Soil,1009.330033,559211527.3,7.567114219,197.2265625,Rice
Alluvial Soil,1725.879087,872251807.8,7.393748477,196.2304688,Pulses
Alluvial Soil,839.093377,1083175303,6.997148799,196.8828125,Rice
Alluvial Soil,1709.662465,1102344962,7.257049327,196.5,Pulses
Alluvial Soil,903.9424719,888808626,7.303722466,196.875,Rice
Alluvial Soil,1045.969896,1149667393,7.491041388,197.296875,Grapes
Alluvial Soil,254.9239422,145254279,6.129061329,39.0625,Rice
Alluvial Soil,1027.933117,880462440.5,7.537138426,196.171875,Pulses
Alluvial Soil,347.5459151,1439139738,7.376519632,196.9375,Rice
Alluvial Soil,2177.754322,100564043,7.248985173,39.0625,Rice
Alluvial Soil,547.1148196,737655484.5,6.540664373,196.875,Pulses
Alluvial Soil,789.9365491,232304200,7.200969269,39.0625,Rice
Alluvial Soil,720.6433555,120324754.3,7.263392196,39.0625,Rice
Alluvial Soil,1851.860999,190026735,7.448221349,39.0625,Rice
Alluvial Soil,542.967461,1290289266,7.142143318,196.2734375,Pulses
Alluvial Soil,925.7790395,522832886.8,7.553259215,196.5820313,Pulses
Alluvial Soil,2269.735528,641610572.8,7.601963511,196.5820313,Pulses
Alluvial Soil,1548.7565,1043962173,7.456355758,196.8632813,Pulses
Alluvial Soil,1851.860999,190026735,7.448221349,39.0625,Rice
Alluvial Soil,2620.959307,1097296782,7.570461565,196.2734375,Pulses
Alluvial Soil,1075.229437,117673570.8,6.794082865,39.0625,Rice
Alluvial Soil,264.3451729,135560645,6.08559406,39.0625,Rice
Alluvial Soil,894.4292589,760434537,7.570817421,197.296875,Pulses
Alluvial Soil,435.0159266,790523009.3,7.171147535,197.3828125,Pulses
Alluvial Soil,1859.576389,969985177.5,7.808604419,196.5820313,Pulses
Alluvial Soil,1615.59398,834867246.8,7.524747419,197.7539063,Pulses
Alluvial Soil,1283.772865,239171165.3,7.807723481,39.0625,Rice
Alluvial Soil,1416.079039,1115460715,7.446959796,196.8828125,Pulses
Alluvial Soil,343.9122977,897701597.8,7.032204376,197.7539063,Pulses
Alluvial Soil,1226.997139,1234199770,7.866064733,197.7539063,Pulses
Alluvial Soil,611.2485863,13946473858,6.684089735,2365.3125, Grapes
Alluvial Soil,639.3585908,13935477037,6.690468404,2365.3125, Grapes
Alluvial Soil,686.0671678,13945967495,6.713327694,2365.3125, Grapes
Alluvial Soil,688.6965759,13935606800,6.713890805,2365.3125, Grapes
Alluvial Soil,679.0937701,13942526468,6.706790832,2365.3125, Grapes
Alluvial Soil,687.2585722,14282789749,6.697768911,2365.3125, Grapes
Alluvial Soil,693.3293245,14280571594,6.694718519,2365.3125, Grapes
Alluvial Soil,702.1657522,13936267592,6.720077675,2365.3125, Grapes
Alluvial Soil,616.3182635,14653728437,6.77598847,2365.3125, Grapes
Alluvial Soil,672.8073346,14295123783,6.691890068,2365.3125, Grapes
Alluvial Soil,678.1333671,14281796942,6.68702331,2365.3125, Grapes
Alluvial Soil,682.3989497,14259721330,6.688675474,2365.3125, Grapes
Alluvial Soil,685.1516398,14285109592,6.69300643,2365.3125, Grapes
Alluvial Soil,685.5626664,14273803489,6.706867805,2365.3125, Grapes
Alluvial Soil,668.2745446,14288835142,6.682718055,2365.3125, Grapes
Alluvial Soil,616.2740473,14644258538,6.768486675,2365.3125, Grapes
Alluvial Soil,600.3124882,14636943844,6.758567381,2365.3125, Grapes
Alluvial Soil,655.6817191,14278652016,6.674448819,2365.3125, Grapes
Alluvial Soil,613.490128,14635076765,6.769207204,2365.3125, Grapes
Alluvial Soil,668.8784016,14510382418,6.761522145,2365.3125, Grapes
Alluvial Soil,613.8968072,14675543492,6.779974557,2365.3125, Grapes
Alluvial Soil,681.7842339,14284730151,6.700791544,2365.3125, Grapes
Alluvial Soil,685.1463264,14273432724,6.691148539,2365.3125, Grapes
Alluvial Soil,380.6705346,13754778560,6.220382047,2365.3125, Grapes
Alluvial Soil,374.4713909,13778033807,6.225881538,2365.3125, Grapes
Alluvial Soil,363.0389583,13785175131,6.220540106,2365.3125, Grapes
Alluvial Soil,689.7808027,14255772211,6.692318501,2365.3125, Grapes
Alluvial Soil,352.0190355,13779419103,6.215876998,2365.3125, Grapes
Alluvial Soil,383.2104297,13774952657,6.235646159,2365.3125, Grapes
Alluvial Soil,368.6532357,13775340710,6.228342413,2365.3125, Grapes
